srcIP,srcPort,dstIP,dstPort,protocol,mean,var,max,min,flowSize
151.77.39.25,14362,244.3.160.239,80,TCP,272.3333333333333,213277.8888888889,1300,40,1634
244.3.160.239,80,151.77.39.25,14362,TCP,66.33333333333333,3067.2222222222226,190,40,398
244.3.160.239,64845,198.123.241.156,80,TCP,130.9,72923.69000000002,941,40,1309
77.197.210.160,33856,41.177.26.176,80,TCP,85.25,13624.9375,394,40,682
41.177.26.176,80,77.197.210.160,33856,TCP,1101.2,323298.55999999994,1500,40,11012
151.77.39.25,10513,244.3.160.239,80,TCP,273.6666666666667,213003.22222222216,1300,40,1642
244.3.160.239,80,151.77.39.25,10513,TCP,66.33333333333333,3067.2222222222226,190,40,398
151.77.39.25,11766,244.3.160.239,80,TCP,174.2,141304.36,1300,40,1742
244.3.160.239,80,151.77.39.25,11766,TCP,781.5,271980.45,1300,40,7815
244.3.48.41,12257,244.3.160.239,80,TCP,189.1,169276.49000000005,1420,40,1891
244.3.160.239,80,244.3.48.41,12257,TCP,728.7,284869.41,1420,40,7287
244.3.160.239,64849,41.43.180.128,80,TCP,191.8,190373.16,1500,40,1918
151.77.39.25,15354,244.3.160.239,80,TCP,272.0,213349.33333333334,1300,40,1632
244.3.160.239,80,151.77.39.25,15354,TCP,66.33333333333333,3067.2222222222226,190,40,398
41.177.98.57,50874,41.177.202.202,53,UDP,71.0,0.0,71,71,71
41.177.202.202,53,41.177.98.57,50874,UDP,216.0,0.0,216,216,216
198.123.241.156,80,244.3.160.239,64845,TCP,1208.8,339192.96,1500,40,12088
149.214.94.57,33354,41.177.26.91,80,TCP,103.3,22877.21,557,52,1033
41.177.26.91,80,149.214.94.57,33354,TCP,923.0,444496.0,1500,52,8307
151.77.39.25,5159,244.3.160.239,80,TCP,274.3333333333333,212872.5555555555,1300,40,1646
244.3.160.239,80,151.77.39.25,5159,TCP,66.33333333333333,3067.2222222222226,190,40,398
151.77.39.25,12567,244.3.160.239,80,TCP,241.14285714285714,189150.6938775511,1300,40,1688
244.3.160.239,80,151.77.39.25,12567,TCP,185.57142857142858,77798.81632653062,847,40,1299
151.77.39.25,2263,244.3.160.239,80,TCP,242.0,189050.2857142857,1300,40,1694
151.77.39.25,14618,244.3.160.239,80,TCP,272.5,213242.58333333334,1300,40,1635
244.3.160.239,80,151.77.39.25,2263,TCP,134.14285714285714,25635.551020408166,487,40,939
244.3.160.239,80,151.77.39.25,14618,TCP,66.33333333333333,3067.2222222222226,190,40,398
41.177.98.57,50875,41.177.202.202,53,UDP,71.0,0.0,71,71,71
41.177.202.202,53,41.177.98.57,50875,UDP,216.0,0.0,216,216,216
244.3.160.239,64852,244.3.31.108,80,TCP,256.8333333333333,231635.47222222225,1333,40,1541
244.3.31.108,80,244.3.160.239,64852,TCP,245.6,165821.44,1060,40,1228
41.43.180.128,80,244.3.160.239,64849,TCP,1062.4,446819.84,1500,40,10624
244.3.160.239,64853,244.3.31.108,80,TCP,257.8333333333333,233792.8055555555,1339,40,1547
151.77.39.25,9190,244.3.160.239,80,TCP,275.1666666666667,212715.47222222216,1300,40,1651
244.3.160.239,80,151.77.39.25,9190,TCP,66.33333333333333,3067.2222222222226,190,40,398
244.3.31.108,80,244.3.160.239,64853,TCP,173.8,69494.56000000001,701,40,869
41.177.98.57,50876,41.177.202.202,53,UDP,71.0,0.0,71,71,71
41.177.202.202,53,41.177.98.57,50876,UDP,216.0,0.0,216,216,216
41.177.98.57,50877,41.177.202.202,53,UDP,72.0,0.0,72,72,72
41.177.202.202,53,41.177.98.57,50877,UDP,299.0,0.0,299,299,299
41.177.98.57,50878,41.177.202.202,53,UDP,81.0,0.0,81,81,81
41.177.202.202,53,41.177.98.57,50878,UDP,275.0,0.0,275,275,275
41.177.98.57,50879,41.177.202.202,53,UDP,81.0,0.0,81,81,81
41.177.202.202,53,41.177.98.57,50879,UDP,275.0,0.0,275,275,275
151.77.142.94,51588,41.177.98.176,80,TCP,302.7,101989.80999999998,709,40,3027
41.177.98.176,80,151.77.142.94,51588,TCP,870.6,375651.43999999994,1500,40,8706
151.77.142.94,51590,41.177.98.176,80,TCP,105.9,37532.490000000005,687,40,1059
41.177.98.176,80,151.77.142.94,51590,TCP,1094.3,390258.01000000007,1500,40,10943
151.77.142.94,51591,41.177.98.176,80,TCP,170.9,66991.29000000001,691,40,1709
41.177.98.176,80,151.77.142.94,51591,TCP,814.7,476826.80999999994,1500,40,8147
151.77.142.94,51592,41.177.98.176,80,TCP,172.3,68449.61000000002,699,40,1723
41.177.98.176,80,151.77.142.94,51592,TCP,1094.3,390258.01000000007,1500,40,10943
