srcIP,srcPort,dstIP,dstPort,protocol,flowSize,pkt-size-0,pkt-size-1,pkt-size-2,pkt-size-3,pkt-size-4,pkt-size-5,pkt-size-6,pkt-size-7,pkt-size-8,pkt-size-9
244.3.160.204,6393,244.3.160.254,2785,TCP,44,44,0,0,0,0,0,0,0,0,0
244.3.160.254,2785,244.3.160.204,6393,TCP,40,40,0,0,0,0,0,0,0,0,0
244.3.160.204,6394,244.3.160.254,4000,TCP,164,44,40,40,40,0,0,0,0,0,0
244.3.160.254,4000,244.3.160.204,6394,TCP,124,44,40,40,0,0,0,0,0,0,0
244.3.160.204,6395,244.3.160.254,4001,TCP,44,44,0,0,0,0,0,0,0,0,0
244.3.160.254,4001,244.3.160.204,6395,TCP,40,40,0,0,0,0,0,0,0,0,0
244.3.160.204,6396,244.3.160.239,443,TCP,164,44,40,40,40,0,0,0,0,0,0
244.3.160.239,443,244.3.160.204,6396,TCP,124,44,40,40,0,0,0,0,0,0,0
244.3.160.204,6397,244.3.160.239,8080,TCP,44,44,0,0,0,0,0,0,0,0,0
244.3.160.239,8080,244.3.160.204,6397,TCP,40,40,0,0,0,0,0,0,0,0,0
244.3.160.204,6398,244.3.160.239,80,TCP,164,44,40,40,40,0,0,0,0,0,0
244.3.160.239,80,244.3.160.204,6398,TCP,124,44,40,40,0,0,0,0,0,0,0
41.177.241.253,139,244.3.93.241,4827,TCP,41,41,0,0,0,0,0,0,0,0,0
244.3.93.241,4827,41.177.241.253,139,TCP,40,40,0,0,0,0,0,0,0,0,0
77.197.210.77,50116,41.177.26.176,80,TCP,643,48,40,355,40,40,40,40,40,0,0
41.177.26.176,80,77.197.210.77,50116,TCP,11511,48,40,1500,1010,1500,1500,739,1500,283,1500
30.222.71.108,80,244.3.160.239,33371,TCP,620,48,40,492,40,0,0,0,0,0,0
77.197.128.64,35082,41.177.26.176,80,TCP,636,48,40,348,40,40,40,40,40,0,0
41.177.26.176,80,77.197.128.64,35082,TCP,10968,48,40,1500,1007,1500,1500,479,1500,549,1500
77.197.210.48,50985,41.177.26.15,80,TCP,613,48,40,405,40,40,40,0,0,0,0
41.177.26.15,80,77.197.210.48,50985,TCP,8462,48,40,1500,1500,1500,1500,1500,874,0,0
41.177.211.185,13360,244.3.160.239,80,TCP,1360,48,40,1152,40,40,40,0,0,0,0
244.3.160.239,80,41.177.211.185,13360,TCP,675,48,40,372,135,40,40,0,0,0,0
244.3.160.239,33372,30.222.71.108,80,TCP,1253,48,40,1045,40,40,40,0,0,0,0
145.95.142.197,8034,244.3.160.239,80,TCP,1069,52,40,897,40,40,0,0,0,0,0
244.3.160.239,80,145.95.142.197,8034,TCP,1341,52,40,1169,40,40,0,0,0,0,0
244.3.160.239,33373,128.71.90.164,80,TCP,1126,48,40,878,40,40,40,40,0,0,0
41.177.98.57,61128,41.177.202.202,53,UDP,72,72,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61128,UDP,299,299,0,0,0,0,0,0,0,0,0
41.177.98.57,61129,41.177.202.202,53,UDP,81,81,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61129,UDP,275,275,0,0,0,0,0,0,0,0,0
41.177.98.57,61130,41.177.202.202,53,UDP,81,81,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61130,UDP,275,275,0,0,0,0,0,0,0,0,0
41.177.98.57,61131,41.177.202.202,53,UDP,72,72,0,0,0,0,0,0,0,0,0
